traveler_name,traveler_type
"Hull, Edward, 1829-1917",Author
"Ryland, Walter P.",Author
"Burt, John Mowlem, 1845-1918",Author
"Kassner, Theo",Author
"HubbeU, Nathan",Author
"Gordon, John, 1863-",Author
"Simmons, John CoUinsworth, 1827-",Author
"King, WUliam Joseph Harding, 1869-",Author
"Preusser, Louise",Author
"zu Eulenburg, Olga",Author
"Gordon, Benjamin Lee, 1870-1965",Author
"Emerson, Jesse Milton, 1818-1898",Author
"Dinning, Hector William",Author
"McBey, James, 1883-1959",Illustrator
"Rawnsley, Hardwicke Drummond, 1851-1920",Author
"Cowderoy, Benjamin",Author
"Parsons, Charles, 1878-",Author
"Rockley, Evelyn Cecil",Author
"Johnson, Soloman",Author
"Blatter, George John, 1861-",Author
"Buxton, Hannah Maude; Buxton, Clare Emily; Buxton, Theresa; Buxton, Edward North, 1840-, joint author",Author
"Anonymous (""Anzac"")",Author
"Field, Henry Martyn, 1822-1907",Author
"Page, Thomas Nelson, 1853-1922",Author
"Wilkin, Anthony, d. 1901",Author
"Sweetser, Delight",Author
"Maule, Francis I.",Author
"Cox, Samuel Sullivan",Author
"Palmer, Lucia A. Chapman",Author
"Bacon, Lee, Mrs.",Author
"Floyd, John F.",Author
"Willard, Helen Parker (Wilson), Mrs., 1873-",Author
"Simmonds, Irene",Author
"Perkins, Angie Villette (Warren)",Author
"Crouse, Mary Elizabeth, 1873-",Author
"Wylie, James Aitkin, 1808-1890",Author
"Gardiner, Sarah Diodati",Author
"Quincy, Mary Perkins",Author
"Acker, Finley",Author
"Lewis, Isaac Newton",Author
"Kartavtsov, Eugenii",Author
"Mordovtsev, Daniil Lukich, 1830-1905",Author
"Bartenev, Sergei Petrovich",Author
"Penfield, Frederick Courtland, 1855-1922",Author
"Kign, Vladimir Liudvigovich, 1856-1908",Author
"Kondakov, Nikodim Pavlovich, 1844-1925",Author
"Ward, John, 1832-1912",Author
"Sladen, Douglas Brooke Wheelton, 1856-1947",Author
"Wallace, Thomas, d. 1933",Author
"Devonshire, Henriette Caroline, 1864-",Author
"Zurbonsen, Anthony, 1860-",Author
"Royce, Charles C, 1845-1923",Author
"Stacey, Charles Perry",Author
"Irgens-Bergh, Alfred von, 1820-1896",Author
"Feldman, Wilhelm, 1880-",Author
"Tangye, Richard, 1833-1906",Author
"Campo, Maximo del",Author
"Herboso, Francisco Jose, 1861-",Author
"Stobl, Karl Hans, 1877-1946",Author
"M'CoUester, Sullivan Holman, 1826-1921",Author
"Kent, Annabelle",Author
"Bainbridge, Lucy S. (Lucy Seaman), 1842-",Author
"Maspero, Gaston Camille Charles, 1846-1916",Author
"Weld, Agnes Grace",Author
"Borchardt, Oscar, 1845-1917",Author
"Palmer, Harry Clay",Author
"Thomas, Sidney J., 1868-",Author
"Wenger, Amos Daniel, 1867-",Author
"Tirard, Helen Mary (Beloe), 1854-1943",Author
"Gibson, Charles Dana, 1867-1944",Author
"Kending, John A. J.",Author
"Brianchaninov, Nikolai",Author
"Wilder, Marshall Pinckney, 1859-1915",Author
"Ternan, Trevor, 1860-",Author
"Wolf, Simon, 1836-1923",Author
"Nichols, William Ford, 1849-",Author
"Krafft, Edouard Hugues",Author
"Joubert, Joseph",Author
"Mathews, Isabella H.",Author
"Coleman, Suemma",Author
"Wiborg, Thomas Miller, 1835-1918",Author
"Taylor, Horace A., 1837-",Author
"Petrie, William Matthew Flinders, 1853-1942",Author
"Colvile, Henry Edward, 1852-",Author
"Todd, John A.",Author
"Van Schoick, Robert WUliam, 1843-",Author
"Poole, Reginald Stuart, 1832-1895",Author
"Reynolds-Ball, Eustace Alfred, 1857?-",Author
"Vivekananda, swami, 1863-1902",Author
"Fitch, George Hamlin, 1852-1915",Author
"Massey, William Thomas",Author
"Vedder, Elihu, 1836-1923",Author
"Talmage, Thomas De Witt, 1832-1902",Author
"Adams, Henry, 1838-1918",Author
"Charley, WUIiam Thomas, 183^1904",Author
"Alder, Lydia Dunford, 1846-",Author
"Harrison, Thomas Skelton, 1832-1919",Author
"Kerr, Robert PoUoic, 1850-",Author
"Oliphant, Laurence, 1829-1888",Author
"Felberman, Lajos, 1861-1927",Author
"Pollard, Joseph",Author
Underwood & Underwood,Author
"Montbard, Georges (Charles Auguste Loyes, 1841-1905)",Author
"CecU, Edward, 1867-1918",Author
Anonymous,Author
"Bryan, WUliam Jennings, 1860-1925",Author
"Barton, William Eleazar, 1861-1930",Author
"Loring, James M.",Author
"Thackeray, Lance, d. 1916",Author
"Hart, Arthur Wellington, 1848-",Author
"Worsfold, William Basil, 1858-1939",Author
"Wallace, Susan Arnold (Elston), 1830-1907",Author
"Davis, Richard Harding, 1864-1916",Author
"BeU, Archie, 1877-",Author
"Cosman, Albert Charles",Author
"Smythe, Florida E. (Watts)",Author
"Lambert, Charles J.",Author
"Little, Anna P.",Author
"Peebles, James M., 1822-1922",Author
"Wheeler, William Webb, 1845-1925",Author
"Sartorius, Ernestine",Author
"Macnaught, Mrs.",Author
"Briggs, Martin Shaw, 1882-",Author
"Campbell, J.K.",Author
"Humieres, Robert vicomte d', 1868-1915",Author
"Harris, Carlton Danner, 1864-1928",Author
"Cuervo Marquez, Emilio, 1873-1937",Author
"Jackson, William Henry, 1843-1942",Author
"Loyson, Emilie Jane (Butterfield) Meriman, 1833-",Author
"Dunning, Harry Westbrook, 1871-",Author
"Johnston, Hugh, 1840-1922",Author
"Morrill, Gulian Lansing, 1857-1928",Author
"Smith, William Spooner, 1821-1916",Author
"Clark, Francis Edward, 1851-1927",Author
"Leiand, Lillian",Author
"Bynim, Enoch Edwin, 1861-",Author
"Harriman, Walter, 1817-1884",Author
"Wilbour, Charles Edwin, 1833-1896",Author
"Peck, Ellen Mary (Hayes)",Author
"Weigall, Arthur Edward Pearse Brome, 1880-1934",Author
"Pennock, Arthur Francis",Author
"Escher, J.J.",Author
"Forster, Richard",Author
"Zypen, Ferdinand van der",Author
"Childe, Blanche de Triqueti, d. 1886",Author
"Haggard, Andrew Charles Parker, 1854-1923",Author
"Herbruck, Edward",Author
"Painter, Lydia Ethel Farmer, 1842-",Author
"Sweeney, Zachary Taylor, 1849-",Author
"Young, Christopher C, 1873-",Author
"Barres, Maurice, 1862-1923",Author
"Miethe, Adolf, 1862-1927",Author
"Iden, Thomas Medary, 1856-1933",Author
"Rudolf, crown prince of Austria, 1858-1889",Author
"Pasquinelli, Filippo",Author
"Gumming, C.F. Gordon",Author
"Rio, Pedro del",Author
"Soler, Mariano, 1846-1908",Author
"Deschamps, PhUippe, 1848-",Author
"Schaeck, Ivan de",Author
"Burnfield, George",Author
"Koptev, A.",Author
"Nikanor, abp. 1847-",Author
"Keppler, Paul WUhelm von, 1852-1926",Author
"Miller, Daniel Long, 1841-1921",Author
"Goodall, Walter Ralph",Author
"Alexander, Frances Gordon (Paddock)",Author
"Cobbold, Evelyn (Murray), 1867-",Author
"GameweU, Mary Louise (Ninde), 1858-1947",Author
"Norfleet, Minnie Tising",Author
"Gleichen, Albert Edward Wilfred, 1863-",Author
"Rew, Henry Cunningham",Author
"Franck, Harry Alverson, 1881-",Author
"Komstadius, N.",Author
"Krausz, Sigmund",Author
