ship_date,ship_name,passenger_list
1890-12-31,Sethi,"{""passengers"":[""Mr. B. Berens"",""Mrs. Berens"",""Mr. W. H. Meade King"",""Mrs. Meade King"",""Mr. R. M. King"",""Miss King"",""Mr. H. D. Didama"",""Mrs. Didama"",""Mr. W. H. Niven"",""Mrs. Niven"",""Mr. Ainsworth"",""Mr. Loomis"",""Mrs. Leech"",""Miss Harrison"",""Mr. Bolton"",""Mr. Bolton Jr"",""Mrs. Bolton"",""Manservant"",""Mrs. Cant""]}"
1891-01-03,Oonas,"{""passengers"":[""Col. C. Woolsey"",""Mrs. C. Woolsey"",""Miss W. Woolsey"",""Mr. C. H. Keene"",""Mr. E. W. Empson"",""Mrs. E. W. Empson"",""Mr. Leavitt"",""Mrs. Leavitt"",""Mr. F. H. Story"",""Mrs. F. H. Story"",""Mr. A. S. Hill"",""Rev. T. W. Lund"",""Mr. K. Lund"",""Mrs. G. H. Wathen"",""Mr. P. Percival"",""Miss Percival"",""Mr. Manuelle"",""Miss Manuelle"",""Csse d’Arnaud Bey"",""Mr. Cruger"",""Mrs. Cruger"",""Mr. J. M. Cook"",""Mr. Kingsford"",""Mr. Walmer"",""Gen Sir F. Grenfell"",""Lady F. Grenfell"",""Settle Pacha"",""Wingate Bey"",""Mrs. Wingate"",""Chakoor Bey"",""Maxwell Bey"",""Baron F. v. Liliencron"",""Baroness v.Liliencron"",""Bimbashi Frederick"",""Mr. Tonnics"",""M. le Comte Bocter"",""Mr. Schlieter"",""Lady Stracey"",""Maid"",""Rev. H. Martin"",""Mrs H. Martin"",""Miss Andrews"",""Mr. de Frankenstein"",""Mr. Lewis & 3 friends""]}"
1892-02-27,Hatasoo,"{""passengers"":[""Mrs. Johnstone"",""Mrs. Horsburgh"",""Miss Horsburgh"",""Mr. Latham"",""Mrs. Latham"",""Rev. Mearns"",""Mrs. Mearns"",""Mr. Senat"",""Mrs. Senat"",""Mr. W. Scott Elliott"",""Miss Scott Elliott"",""Dr. Berry"",""Mr. C. A. Jones"",""Miss Jones""]}"
1891-01-03,Hatasoo,"{""passengers"":[""Col. C. Woolsey"",""Mrs. C. Woolsey"",""Miss W. Woolsey"",""Mr. C. H. Keene"",""Mr. E. W. Empson"",""Mrs. E. W. Empson"",""Mr. Leavitt"",""Mrs. Leavitt"",""Mr. F. H. Story"",""Mrs. F. H. Story"",""Mr. A. S. Hill"",""Rev. T. W. Lund"",""Mr. K. Lund"",""Mrs. G. H. Wathen"",""Mr. P. Percival"",""Miss Percival"",""Mr. Manuelle"",""Miss Manuelle"",""Csse d’Arnaud Bey"",""Mr. Cruger"",""Mrs. Cruger"",""Mr. J. M. Cook"",""Mr. Kingsford"",""Mr. Walmer"",""Gen Sir F. Grenfell"",""Lady F. Grenfell"",""Settle Pacha"",""Wingate Bey"",""Mrs. Wingate"",""Chakoor Bey"",""Maxwell Bey"",""Baron F. v. Liliencron"",""Baroness v.Liliencron"",""Bimbashi Frederick"",""Mr. Tonnics"",""M. le Comte Bocter"",""Mr. Schlieter"",""Lady Stracey"",""Maid"",""Rev. H. Martin"",""Mrs H. Martin"",""Miss Andrews"",""Mr. de Frankenstein"",""Mr. Lewis & 3 friends""]}"
1891-01-06,Tewfik,"{""passengers"":[""Mr. F. C. Norton"",""Mr. Penfield"",""Mrs. Penfield"",""Miss Penfield"",""Dr. Jobson"",""Mrs. Jobson"",""Miss Smith"",""Mr. Tower"",""Mrs. Tower"",""Miss Tower"",""Miss Stetson"",""Mr. Schmidtbacker"",""Mrs. Schmidtbacker"",""Miss Klepper"",""Mr. Haimann"",""Mr. Eisenmann"",""Mr. Errera"",""Mrs. Errera"",""Maid"",""Count Orowrski"",""Mrs. Humphreys"",""Miss H. Humphreys"",""Miss E. H. Humphreys"",""Mrs. Goodall"",""Dr. Morris"",""Mrs. Morris"",""Mr. F. Scorer"",""Mrs. Scorer"",""Mr. J. Hughes"",""Mrs. Eegholm""]}"
1891-01-13,Rameses,"{""passengers"":[""Mrs. S. R. Brown"",""Miss Lockwood"",""Mrs. Scull"",""Miss Scull"",""Mr. W. Delaplaine Scull"",""Mr. P. A. Houghton"",""Mr. W. C. Houghton"",""Miss Houghton"",""Mr. E. Rawlings"",""Mrs. Rawlings"",""Maid"",""Mr. R. L. Moore"",""Mr. T. M. Moore"",""Mrs. Moore"",""Miss Moore"",""Mrs. Harrison"",""Miss Morris"",""Miss Summerton"",""Mrs. S. W. Balfour"",""Miss E. Nevitt Bennet"",""Mr. H. K. Caner"",""Mrs. H. K. Caner"",""Mr. G. Gooderham"",""Mrs. G. Gooderham"",""Miss Lulu Gooderham"",""Miss Lily Gooderham"",""Mr. T. G. Blackstock"",""Mr. C. H. S. Mixer"",""Mrs. Mixer"",""Mrs. J. Holmes"",""Miss C. A. Spring"",""Bishop of Minnesota"",""Mrs. Beeson"",""Miss Beeson"",""Miss Hess"",""Mrs. Crow"",""Mr. G. V. Forman"",""Mrs. Forman"",""Mr. Forman Jr."",""Mr. A. Lehmany"",""Mrs. Lehmany"",""Mr. Gruenhagen"",""Mrs. Gruenhagen"",""Mr. Moore"",""Mrs. Moore"",""Mr. J. W. Sprague"",""Mr. Halhday"",""Miss Coswav"",""Mr. W. H. B. Saunt"",""Mr. Alison"",""Mrs. Alison"",""Mr. W. J. Webster"",""Mrs. J. Chute"",""Mr. Stewart"",""Miss Stewart"",""Miss A. Stewart"",""Mr. Gibbon"",""Mrs. Gibbon"",""Mr. Letellier"",""Mrs. Letellier""]}"
1891-01-20,Prince Abbas,"{""passengers"":[""Vte Albert de Luccnay"",""Vtes Albert de Luccnay"",""Mr. T. H. Ransom"",""Mr. J. M. M. Candlish"",""Mrs. J. M. M. Candlish"",""Mr. Colfax"",""Mrs. Colfax"",""Mr. Robert Bevan"",""Mrs. Robert Bevan"",""Mr. Richard Parish"",""Mrs. Richard Parish"",""Mr. Lamon"",""Mrs. Lamon"",""Dr. Carton"",""Mr. W. B. Kaup√©"",""Mrs. Lane Johnson"",""Miss Kennedy"",""Maid"",""Mr. A. W. Gillman"",""Mrs. A. W. Gillman"",""Mr. Stewart"",""Mrs. Stewart"",""Miss Stewart"",""Master Stewart"",""Mr. Molson"",""Mrs. Molson"",""Miss Molson"",""Lady C. Lyon"",""Mr. Lyon"",""Mr. R. Jameson"",""Mrs. Chute"",""Mrs. Hardman"",""Miss Howard"",""Rev. E. K. Douglas"",""Mr J Worsley Taylor"",""Mr. S. E. Lyons"",""Mr. E. Watkin"",""Mr. W. H. Lindsay""]}"
1891-01-24,Cleopatra,"{""passengers"":[""Mr. T. J. Tuckett"",""Mr. A. E. Hudd"",""Rev. C. H. Hawkins"",""Mrs C. H. Hawkins"",""Rev. H. B. Hawkins"",""Mr. Jacob W. Fair"",""Col. Favre"",""Mrs. Favre"",""Mr. Rogers"",""Mrs. Rogers"",""Mr. A. Rogers"",""Miss Rogers"",""Courier"",""Maid"",""M. Borel"",""Mlle Borel"",""Dr. Wilkinson"",""Mr. T. Cooper"",""Mr. Kaup√©"",""Mr. Paris"",""Miss Cowen"",""Miss J. C. Cowen"",""Miss Mc Vean"",""Mr. Karqus"",""Mr. Karam"",""Mrs. Karam"",""Manservant"",""Mr. Surock"",""Mme Surock"",""Dr. Rogers"",""Mrs. Rogers"",""Mr. W. I. Jenkins"",""Mr. Scott Elliot"",""Mr. G. Nissim"",""Mr. H. B. Gray""]}"
1891-02-04,Sethi,"{""passengers"":[""Mr. W. P. Dixon"",""Mr. C. A. Dixon"",""Miss E. Bramwell"",""Miss C. Bramwell"",""Bev. L. Borrisow"",""Baron von Rigat Grunland"",""Baroness von Rigat Grunland"",""Miss von Rigat Grunland"",""Countess Boss"",""Capt. A. M. Causton"",""Canon Bawdon"",""Count G. Ostrowski"",""Mr J. B. Dugdale"",""Mr. S. W. Nash"",""Mrs. Monlrad"",""Miss Monlrad"",""Miss Sars"",""Mr. Hansard"",""Mr. Mason"",""Mr. G. Ulrich"",""Baron Neillem""]}"
1891-02-07,Amenartas,"{""passengers"":[""Jt. Mr. Mortimer Stuart"",""Mrs. Mortimer Stuart"",""Miss Mason"",""Miss Mason"",""Mr. Du Port"",""Mrs. Du Port"",""General Knobbes"",""Mrs. Knobbes"",""Miss G. Messner"",""Mr. B. Grun"",""Mr. Werner"",""Mrs. Werner"",""Miss Johnson"",""Miss E. Johnson"",""Miss Jones"",""Sir William Dean"",""Mrs. William Dean"",""Miss William Dean"",""Prof F. Butler"",""Mr. R. B. Parsons"",""Mrs. R. B. Parsons"",""Miss A. Parsons"",""Miss C. Parsons"",""Miss B. Parsons"",""Mr. Lefibore"",""M. Baron de Caters"",""M. Chamelies"",""Mr. Hoover"",""Mrs. Hoover"",""Mr. Doughty Walcott"",""H. E. Dr.GreenePacha"",""Miss Lamond"",""Mr. H. H. Eddison""]}"
